INFO 2025-04-14 05:00:05,379 autoreload Watching for file changes with StatReloader
INFO 2025-04-14 05:01:20,595 basehttp "OPTIONS /api/token/ HTTP/1.1" 200 0
WARNING 2025-04-14 05:01:20,770 log Unauthorized: /api/token/
WARNING 2025-04-14 05:01:20,770 basehttp "POST /api/token/ HTTP/1.1" 401 63
INFO 2025-04-14 05:02:55,793 basehttp "OPTIONS /api/register/ HTTP/1.1" 200 0
INFO 2025-04-14 05:02:55,986 basehttp "POST /api/register/ HTTP/1.1" 201 810
INFO 2025-04-14 05:02:55,999 basehttp "OPTIONS /api/v1/users/me/ HTTP/1.1" 200 0
INFO 2025-04-14 05:02:55,999 basehttp "OPTIONS /api/v1/users/me/ HTTP/1.1" 200 0
INFO 2025-04-14 05:02:56,009 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:02:56,018 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:02:56,029 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:02:56,041 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:02:56,051 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:02:56,052 basehttp "OPTIONS /api/v1/events/?organizer=23 HTTP/1.1" 200 0
INFO 2025-04-14 05:02:56,059 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:02:56,061 basehttp "OPTIONS /api/v1/events/? HTTP/1.1" 200 0
INFO 2025-04-14 05:02:56,065 basehttp "GET /api/v1/events/?organizer=23 HTTP/1.1" 200 52
INFO 2025-04-14 05:02:56,069 basehttp "GET /api/v1/events/? HTTP/1.1" 200 52
INFO 2025-04-14 05:02:56,069 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
INFO 2025-04-14 05:02:56,079 basehttp "GET /api/v1/users/me/ HTTP/1.1" 200 316
